Label,Name,R,G,B
0,Unknown,0,0,0
1,Left-Cerebral-Exterior,70,130,180
2,Left-Cerebral-White-Matter,245,245,245
3,Left-Cerebral-Cortex,205,62,78
4,Left-Lateral-Ventricle,120,18,134
5,Left-Inf-Lat-Vent,196,58,250
6,Left-Cerebellum-Exterior,0,148,0
7,Left-Cerebellum-White-Matter,220,248,164
8,Left-Cerebellum-Cortex,230,148,34
9,Left-Thalamus-unused,0,118,14
10,Left-Thalamus,0,118,14
11,Left-Caudate,122,186,220
12,Left-Putamen,236,13,176
13,Left-Pallidum,12,48,255
14,3rd-Ventricle,204,182,142
15,4th-Ventricle,42,204,164
16,Brain-Stem,119,159,176
17,Left-Hippocampus,220,216,20
18,Left-Amygdala,103,255,255
19,Left-Insula,80,196,98
20,Left-Operculum,60,58,210
21,Line-1,60,58,210
22,Line-2,60,58,210
23,Line-3,60,58,210
24,CSF,60,60,60
25,Left-Lesion,255,165,0
26,Left-Accumbens-area,255,165,0
27,Left-Substancia-Nigra,0,255,127
28,Left-VentralDC,165,42,42
29,Left-undetermined,135,206,235
30,Left-vessel,160,32,240
31,Left-choroid-plexus,0,200,200
32,Left-F3orb,100,50,100
33,Left-lOg,135,50,74
34,Left-aOg,122,135,50
35,Left-mOg,51,50,135
36,Left-pOg,74,155,60
37,Left-Stellate,120,62,43
38,Left-Porg,74,155,60
39,Left-Aorg,122,135,50
40,Right-Cerebral-Exterior,70,130,180
41,Right-Cerebral-White-Matter,245,245,245
42,Right-Cerebral-Cortex,205,62,78
43,Right-Lateral-Ventricle,120,18,134
44,Right-Inf-Lat-Vent,196,58,250
45,Right-Cerebellum-Exterior,0,148,0
46,Right-Cerebellum-White-Matter,220,248,164
47,Right-Cerebellum-Cortex,230,148,34
48,Right-Thalamus-unused,0,118,14
49,Right-Thalamus,0,118,14
50,Right-Caudate,122,186,220
51,Right-Putamen,236,13,176
52,Right-Pallidum,13,48,255
53,Right-Hippocampus,220,216,20
54,Right-Amygdala,103,255,255
55,Right-Insula,80,196,98
56,Right-Operculum,60,58,210
57,Right-Lesion,255,165,0
58,Right-Accumbens-area,255,165,0
59,Right-Substancia-Nigra,0,255,127
60,Right-VentralDC,165,42,42
61,Right-undetermined,135,206,235
62,Right-vessel,160,32,240
63,Right-choroid-plexus,0,200,221
64,Right-F3orb,100,50,100
65,Right-lOg,135,50,74
66,Right-aOg,122,135,50
67,Right-mOg,51,50,135
68,Right-pOg,74,155,60
69,Right-Stellate,120,62,43
70,Right-Porg,74,155,60
71,Right-Aorg,122,135,50
72,5th-Ventricle,120,190,150
73,Left-Interior,122,135,50
74,Right-Interior,122,135,50
77,WM-hypointensities,200,70,255
78,Left-WM-hypointensities,255,148,10
79,Right-WM-hypointensities,255,148,10
80,non-WM-hypointensities,164,108,226
81,Left-non-WM-hypointensities,164,108,226
82,Right-non-WM-hypointensities,164,108,226
83,Left-F1,255,218,185
84,Right-F1,255,218,185
85,Optic-Chiasm,234,169,30
192,Corpus_Callosum,250,255,50
86,Left_future_WMSA,200,120,255
87,Right_future_WMSA,200,121,255
88,future_WMSA,200,122,255
96,Left-Amygdala-Anterior,205,10,125
97,Right-Amygdala-Anterior,205,10,125
98,Dura,160,32,240
100,Left-wm-intensity-abnormality,124,140,178
101,Left-caudate-intensity-abnormality,125,140,178
102,Left-putamen-intensity-abnormality,126,140,178
103,Left-accumbens-intensity-abnormality,127,140,178
104,Left-pallidum-intensity-abnormality,124,141,178
105,Left-amygdala-intensity-abnormality,124,142,178
106,Left-hippocampus-intensity-abnormality,124,143,178
107,Left-thalamus-intensity-abnormality,124,144,178
108,Left-VDC-intensity-abnormality,124,140,179
109,Right-wm-intensity-abnormality,124,140,178
110,Right-caudate-intensity-abnormality,125,140,178
111,Right-putamen-intensity-abnormality,126,140,178
112,Right-accumbens-intensity-abnormality,127,140,178
113,Right-pallidum-intensity-abnormality,124,141,178
114,Right-amygdala-intensity-abnormality,124,142,178
115,Right-hippocampus-intensity-abnormality,124,143,178
116,Right-thalamus-intensity-abnormality,124,144,178
117,Right-VDC-intensity-abnormality,124,140,179
118,Epidermis,255,20,147
119,Conn-Tissue,205,179,139
120,SC-Fat-Muscle,238,238,209
121,Cranium,200,200,200
122,CSF-SA,74,255,74
123,Muscle,238,0,0
124,Ear,0,0,139
125,Adipose,173,255,47
126,Spinal-Cord,133,203,229
127,Soft-Tissue,26,237,57
128,Nerve,34,139,34
129,Bone,30,144,255
130,AirCavity,196,160,128
131,Orbital-Fat,238,59,59
132,Tongue,221,39,200
133,Nasal-Structures,238,174,238
134,Globe,255,0,0
135,Teeth,72,61,139
136,Left-Caudate-Putamen,21,39,132
137,Right-Caudate-Putamen,21,39,132
138,Left-Claustrum,65,135,20
139,Right-Claustrum,65,135,20
140,Cornea,134,4,160
142,Diploe,221,226,68
143,Vitreous-Humor,255,255,254
144,Lens,52,209,226
145,Aqueous-Humor,239,160,223
146,Outer-Table,70,130,180
147,Inner-Table,70,130,181
148,Periosteum,139,121,94
149,Endosteum,224,224,224
150,R-C-S,255,0,0
151,Iris,205,205,0
152,SC-Adipose-Muscle,238,238,209
153,SC-Tissue,139,121,94
154,Orbital-Adipose,238,59,59
155,Left-IntCapsule-Ant,238,59,59
156,Right-IntCapsule-Ant,238,59,59
157,Left-IntCapsule-Pos,62,10,205
158,Right-IntCapsule-Pos,62,10,205
159,Left-Cerebral-WM-unmyelinated,0,118,14
160,Right-Cerebral-WM-unmyelinated,0,118,14
161,Left-Cerebral-WM-myelinated,220,216,21
162,Right-Cerebral-WM-myelinated,220,216,21
163,Left-Subcortical-Gray-Matter,122,186,220
164,Right-Subcortical-Gray-Matter,122,186,220
165,Skull,120,120,120
166,Posterior-fossa,14,48,255
167,Scalp,166,42,42
168,Hematoma,121,18,134
169,Left-Basal-Ganglia,236,13,127
176,Right-Basal-Ganglia,236,13,126
170,brainstem,119,159,176
171,DCG,119,0,176
172,Vermis,119,100,176
173,Midbrain,242,104,76
174,Pons,206,195,58
175,Medulla,119,159,176
177,Vermis-White-Matter,119,50,176
178,SCP,142,182,0
179,Floculus,19,100,176
180,Left-Cortical-Dysplasia,73,61,139
181,Right-Cortical-Dysplasia,73,62,139
182,CblumNodulus,10,100,176
193,Left-hippocampal_fissure,0,196,255
194,Left-CADG-head,255,164,164
195,Left-subiculum,196,196,0
196,Left-fimbria,0,100,255
197,Right-hippocampal_fissure,128,196,164
198,Right-CADG-head,0,126,75
199,Right-subiculum,128,96,64
200,Right-fimbria,0,50,128
201,alveus,255,204,153
202,perforant_pathway,255,128,128
203,parasubiculum,175,175,75
204,presubiculum,64,0,64
205,subiculum,0,0,255
206,CA1,255,0,0
207,CA2,128,128,255
208,CA3,0,128,0
209,CA4,196,160,128
210,GC-DG,32,200,255
211,HATA,128,255,128
212,fimbria,204,153,204
213,lateral_ventricle,121,17,136
214,molecular_layer_HP,128,0,0
215,hippocampal_fissure,128,32,255
216,entorhinal_cortex,255,204,102
217,molecular_layer_subiculum,128,128,128
218,Amygdala,104,255,255
219,Cerebral_White_Matter,0,226,0
220,Cerebral_Cortex,205,63,78
221,Inf_Lat_Vent,197,58,250
222,Perirhinal,33,150,250
223,Cerebral_White_Matter_Edge,226,0,0
224,Background,100,100,100
225,Ectorhinal,197,150,250
226,HP_tail,170,170,255
231,HP_body,0,255,0
232,HP_head,255,0,0
233,presubiculum-head,32,0,32
234,presubiculum-body,64,0,64
235,subiculum-head,0,0,175
236,subiculum-body,0,0,255
237,CA1-head,175,75,75
238,CA1-body,255,0,0
239,CA3-head,0,80,0
240,CA3-body,0,128,0
241,CA4-head,120,90,50
242,CA4-body,196,160,128
243,GC-ML-DG-head,75,125,175
244,GC-ML-DG-body,32,200,255
245,molecular_layer_HP-head,100,25,25
246,molecular_layer_HP-body,128,0,0
250,Fornix,255,0,0
251,CC_Posterior,0,0,64
252,CC_Mid_Posterior,0,0,112
253,CC_Central,0,0,160
254,CC_Mid_Anterior,0,0,208
255,CC_Anterior,0,0,255
256,Voxel-Unchanged,0,0,0
257,CSF-ExtraCerebral,60,60,60
258,Head-ExtraCerebral,150,150,200
259,SkullApprox,120,120,120
260,BoneOrAir,119,159,176
261,PossibleFluid,120,18,134
262,Sinus,196,160,128
263,Left-Eustachian,119,159,176
264,Right-Eustachian,119,159,176
265,Left-Eyeball,60,60,60
266,Right-Eyeball,60,60,60
331,Aorta,255,0,0
332,Left-Common-IliacA,255,80,0
333,Right-Common-IliacA,255,160,0
334,Left-External-IliacA,255,255,0
335,Right-External-IliacA,0,255,0
336,Left-Internal-IliacA,255,0,160
337,Right-Internal-IliacA,255,0,255
338,Left-Lateral-SacralA,255,50,80
339,Right-Lateral-SacralA,80,255,50
340,Left-ObturatorA,160,255,50
341,Right-ObturatorA,160,200,255
342,Left-Internal-PudendalA,0,255,160
343,Right-Internal-PudendalA,0,0,255
344,Left-UmbilicalA,80,50,255
345,Right-UmbilicalA,160,0,255
346,Left-Inf-RectalA,255,210,0
347,Right-Inf-RectalA,0,160,255
348,Left-Common-IliacV,255,200,80
349,Right-Common-IliacV,255,200,160
350,Left-External-IliacV,255,80,200
351,Right-External-IliacV,255,160,200
352,Left-Internal-IliacV,30,255,80
353,Right-Internal-IliacV,80,200,255
354,Left-ObturatorV,80,255,200
355,Right-ObturatorV,195,255,200
356,Left-Internal-PudendalV,120,200,20
357,Right-Internal-PudendalV,170,10,200
358,Pos-Lymph,20,130,180
359,Neg-Lymph,20,180,130
400,V1,206,62,78
401,V2,121,18,134
402,BA44,199,58,250
403,BA45,1,148,0
404,BA4a,221,248,164
405,BA4p,231,148,34
406,BA6,1,118,14
407,BA2,120,118,14
408,BA1_old,123,186,221
409,BAun2,238,13,177
410,BA1,123,186,220
411,BA2b,138,13,206
412,BA3a,238,130,176
413,BA3b,218,230,76
414,MT,38,213,176
415,AIPS_AIP_l,1,225,176
416,AIPS_AIP_r,1,225,176
417,AIPS_VIP_l,200,2,100
418,AIPS_VIP_r,200,2,100
419,IPL_PFcm_l,5,200,90
420,IPL_PFcm_r,5,200,90
421,IPL_PF_l,100,5,200
422,IPL_PFm_l,25,255,100
423,IPL_PFm_r,25,255,100
424,IPL_PFop_l,230,7,100
425,IPL_PFop_r,230,7,100
426,IPL_PF_r,100,5,200
427,IPL_PFt_l,150,10,200
428,IPL_PFt_r,150,10,200
429,IPL_PGa_l,175,10,176
430,IPL_PGa_r,175,10,176
431,IPL_PGp_l,10,100,255
432,IPL_PGp_r,10,100,255
433,Visual_V3d_l,150,45,70
434,Visual_V3d_r,150,45,70
435,Visual_V4_l,45,200,15
436,Visual_V4_r,45,200,15
437,Visual_V5_b,227,45,100
438,Visual_VP_l,227,45,100
439,Visual_VP_r,227,45,100
498,wmsa,143,188,143
499,other_wmsa,255,248,220
500,right_CA2_3,17,85,136
501,right_alveus,119,187,102
502,right_CA1,204,68,34
503,right_fimbria,204,0,255
504,right_presubiculum,221,187,17
505,right_hippocampal_fissure,153,221,238
506,right_CA4_DG,51,17,17
507,right_subiculum,0,119,85
508,right_fornix,20,100,200
550,left_CA2_3,17,85,137
551,left_alveus,119,187,103
552,left_CA1,204,68,35
553,left_fimbria,204,0,254
554,left_presubiculum,221,187,16
555,left_hippocampal_fissure,153,221,239
556,left_CA4_DG,51,17,18
557,left_subiculum,0,119,86
558,left_fornix,20,100,201
600,Tumor,254,254,254
601,Cbm_Left_I_IV,70,130,180
602,Cbm_Right_I_IV,245,245,245
603,Cbm_Left_V,205,62,78
604,Cbm_Right_V,120,18,134
605,Cbm_Left_VI,196,58,250
606,Cbm_Vermis_VI,0,148,0
607,Cbm_Right_VI,220,248,164
608,Cbm_Left_CrusI,230,148,34
609,Cbm_Vermis_CrusI,0,118,14
610,Cbm_Right_CrusI,0,118,14
611,Cbm_Left_CrusII,122,186,220
612,Cbm_Vermis_CrusII,236,13,176
613,Cbm_Right_CrusII,12,48,255
614,Cbm_Left_VIIb,204,182,142
615,Cbm_Vermis_VIIb,42,204,164
616,Cbm_Right_VIIb,119,159,176
617,Cbm_Left_VIIIa,220,216,20
618,Cbm_Vermis_VIIIa,103,255,255
619,Cbm_Right_VIIIa,80,196,98
620,Cbm_Left_VIIIb,60,58,210
621,Cbm_Vermis_VIIIb,60,58,210
622,Cbm_Right_VIIIb,60,58,210
623,Cbm_Left_IX,60,58,210
624,Cbm_Vermis_IX,60,60,60
625,Cbm_Right_IX,255,165,0
